molecule_chembl_id,ic50_nM,pchembl_value,standard_type,assay_chembl_id
CHEMBL53711,0.006,,IC50,CHEMBL680030
CHEMBL51853,0.13,9.89,IC50,CHEMBL680030
CHEMBL334697,0.17,9.77,IC50,CHEMBL673925
CHEMBL53426,0.25,9.6,IC50,CHEMBL679947
CHEMBL134371,0.37,9.43,IC50,CHEMBL673925
CHEMBL336264,0.43,9.37,IC50,CHEMBL673925
CHEMBL304271,0.45,9.35,IC50,CHEMBL674637
CHEMBL136404,0.5,9.3,IC50,CHEMBL673925
CHEMBL93464,0.55,9.26,IC50,CHEMBL673925
CHEMBL342828,0.56,9.25,IC50,CHEMBL673925
CHEMBL138940,0.61,9.21,IC50,CHEMBL673925
CHEMBL344177,0.69,9.16,IC50,CHEMBL673925
CHEMBL285063,0.7,9.15,IC50,CHEMBL673925
CHEMBL434827,0.73,9.14,IC50,CHEMBL673925
CHEMBL299622,0.76,9.12,IC50,CHEMBL679947
CHEMBL139095,0.76,9.12,IC50,CHEMBL673925
CHEMBL52765,0.78,9.11,IC50,CHEMBL680030
CHEMBL136058,0.81,9.09,IC50,CHEMBL673925
CHEMBL294475,0.81,9.09,IC50,CHEMBL679947
CHEMBL51659,0.91,9.04,IC50,CHEMBL673925
