activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date,ic50_nM,log_ic50_nM
32260,CHEMBL674637,CHEMBL203,CHEMBL68920,IC50,41.0,nM,=,7.39,2026-03-21 13:33:18.447979,41.0,1.6127838567197355
32263,CHEMBL621151,CHEMBL203,CHEMBL68920,IC50,300.0,nM,=,6.52,2026-03-21 13:33:18.447979,300.0,2.4771212547196626
32265,CHEMBL615325,CHEMBL203,CHEMBL68920,IC50,7820.0,nM,=,5.11,2026-03-21 13:33:18.447979,7820.0,3.893206753059848
32267,CHEMBL674637,CHEMBL203,CHEMBL69960,IC50,170.0,nM,=,6.77,2026-03-21 13:33:18.447979,170.0,2.230448921378274
32270,CHEMBL621151,CHEMBL203,CHEMBL69960,IC50,40.0,nM,=,7.4,2026-03-21 13:33:18.447979,40.0,1.6020599913279623
32272,CHEMBL615325,CHEMBL203,CHEMBL69960,IC50,440.0,nM,=,6.36,2026-03-21 13:33:18.447979,440.0,2.6434526764861874
32680,CHEMBL677833,CHEMBL203,CHEMBL137635,IC50,9300.0,nM,=,5.03,2026-03-21 13:33:18.447979,9300.0,3.9684829485539352
32770,CHEMBL674643,CHEMBL203,CHEMBL306988,IC50,500000.0,nM,=,,2026-03-21 13:33:18.447979,500000.0,5.698970004336019
32772,CHEMBL674643,CHEMBL203,CHEMBL66879,IC50,3000000.0,nM,=,,2026-03-21 13:33:18.447979,3000000.0,6.477121254719663
32780,CHEMBL674643,CHEMBL203,CHEMBL77085,IC50,96000.0,nM,=,4.02,2026-03-21 13:33:18.447979,96000.0,4.982271233039568
33406,CHEMBL674637,CHEMBL203,CHEMBL443268,IC50,5310.0,nM,=,5.28,2026-03-21 13:33:18.447979,5310.0,3.725094521081469
34039,CHEMBL674643,CHEMBL203,CHEMBL76979,IC50,264000.0,nM,=,,2026-03-21 13:33:18.447979,264000.0,5.421603926869831
34041,CHEMBL674643,CHEMBL203,CHEMBL76589,IC50,125.0,nM,=,6.9,2026-03-21 13:33:18.447979,125.0,2.0969100130080562
34045,CHEMBL674643,CHEMBL203,CHEMBL77724,IC50,1250000.0,nM,>,,2026-03-21 13:33:18.447979,1250000.0,6.096910013008056
34047,CHEMBL674643,CHEMBL203,CHEMBL420385,IC50,625000.0,nM,>,,2026-03-21 13:33:18.447979,625000.0,5.795880017344075
34049,CHEMBL674643,CHEMBL203,CHEMBL76904,IC50,35000.0,nM,=,4.46,2026-03-21 13:33:18.447979,35000.0,4.544068044350276
