molecule_chembl_id,ic50_nM,pchembl_value,smiles,assay_chembl_id
CHEMBL68920,41.0,7.39,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL674637
CHEMBL68920,300.0,6.52,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL621151
CHEMBL68920,7820.0,5.11,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL615325
CHEMBL69960,170.0,6.77,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL69960,40.0,7.40,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL621151
CHEMBL69960,440.0,6.36,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL615325
CHEMBL137635,9300.0,5.03,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CHEMBL677833
CHEMBL306988,500000.0,,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL674643
CHEMBL66879,3000000.0,,O=C(O)/C=C/c1ccc(O)cc1,CHEMBL674643
CHEMBL77085,96000.0,4.02,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL674643
CHEMBL443268,5310.0,5.28,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL76979,264000.0,,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,CHEMBL674643
CHEMBL76589,125.0,6.90,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL674643
CHEMBL77724,1250000.0,,COc1cc(C=C(C#N)C#N)cc(OC)c1,CHEMBL674643
CHEMBL420385,625000.0,,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,CHEMBL674643
CHEMBL76904,35000.0,4.46,N#CC(C#N)=Cc1ccc(O)c(O)c1,CHEMBL674643
CHEMBL1009,900000.0,,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL674643
CHEMBL304271,0.45,9.35,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL674637
CHEMBL296407,10000.0,5.00,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,CHEMBL674643
CHEMBL309625,60000.0,4.22,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,CHEMBL674643
CHEMBL77825,600000.0,,COc1ccc(NN=C(C#N)C#N)cc1,CHEMBL674643
CHEMBL421877,850000.0,,COc1cc(C=C(C#N)C#N)cc(OC)c1O,CHEMBL674643
CHEMBL310798,3000.0,5.52,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,CHEMBL674643
CHEMBL135592,8000.0,5.10,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL677833
CHEMBL309866,1300000.0,,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,CHEMBL674643
CHEMBL77381,1360000.0,,N#C/C(=C/c1ccc[nH]1)C(=O)O,CHEMBL674643
CHEMBL76602,165000.0,,N#C/C(=C\c1ccc(O)cc1)C(=O)O,CHEMBL674643
CHEMBL77737,250000.0,,N#CC(C#N)=Cc1ccncc1,CHEMBL674643
CHEMBL76983,1250000.0,,N#CC(C#N)=Cc1ccc(F)cc1,CHEMBL674643
CHEMBL308134,125000.0,,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,CHEMBL674643
CHEMBL136491,14.0,7.85,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL677833
CHEMBL77280,1250000.0,,CC(=C(C#N)C#N)c1ccc(N)cc1,CHEMBL674643
CHEMBL76557,625000.0,,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,CHEMBL674643
CHEMBL336113,1000.0,6.00,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,CHEMBL677833
