activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date
32260,CHEMBL674637,CHEMBL203,CHEMBL68920,IC50,41.0,nM,=,7.39,2026-03-21 13:33:18.447979
32263,CHEMBL621151,CHEMBL203,CHEMBL68920,IC50,300.0,nM,=,6.52,2026-03-21 13:33:18.447979
32265,CHEMBL615325,CHEMBL203,CHEMBL68920,IC50,7820.0,nM,=,5.11,2026-03-21 13:33:18.447979
32267,CHEMBL674637,CHEMBL203,CHEMBL69960,IC50,170.0,nM,=,6.77,2026-03-21 13:33:18.447979
32270,CHEMBL621151,CHEMBL203,CHEMBL69960,IC50,40.0,nM,=,7.40,2026-03-21 13:33:18.447979
32272,CHEMBL615325,CHEMBL203,CHEMBL69960,IC50,440.0,nM,=,6.36,2026-03-21 13:33:18.447979
32680,CHEMBL677833,CHEMBL203,CHEMBL137635,IC50,9300.0,nM,=,5.03,2026-03-21 13:33:18.447979
32770,CHEMBL674643,CHEMBL203,CHEMBL306988,IC50,500000.0,nM,=,,2026-03-21 13:33:18.447979
32771,CHEMBL675639,CHEMBL203,CHEMBL306988,Ki,,nM,,,2026-03-21 13:33:18.447979
32772,CHEMBL674643,CHEMBL203,CHEMBL66879,IC50,3000000.0,nM,=,,2026-03-21 13:33:18.447979
32773,CHEMBL675636,CHEMBL203,CHEMBL66879,Ki,1000000.0,nM,=,,2026-03-21 13:33:18.447979
32780,CHEMBL674643,CHEMBL203,CHEMBL77085,IC50,96000.0,nM,=,4.02,2026-03-21 13:33:18.447979
32781,CHEMBL675636,CHEMBL203,CHEMBL77085,Ki,24000.0,nM,=,4.62,2026-03-21 13:33:18.447979
33406,CHEMBL674637,CHEMBL203,CHEMBL443268,IC50,5310.0,nM,=,5.28,2026-03-21 13:33:18.447979
34039,CHEMBL674643,CHEMBL203,CHEMBL76979,IC50,264000.0,nM,=,,2026-03-21 13:33:18.447979
34040,CHEMBL675636,CHEMBL203,CHEMBL76979,Ki,700000.0,nM,=,,2026-03-21 13:33:18.447979
34041,CHEMBL674643,CHEMBL203,CHEMBL76589,IC50,125.0,nM,=,6.90,2026-03-21 13:33:18.447979
34042,CHEMBL675637,CHEMBL203,CHEMBL76589,Ki,,nM,,,2026-03-21 13:33:18.447979
34045,CHEMBL674643,CHEMBL203,CHEMBL77724,IC50,1250000.0,nM,>,,2026-03-21 13:33:18.447979
34046,CHEMBL675636,CHEMBL203,CHEMBL77724,Ki,400000.0,nM,>,,2026-03-21 13:33:18.447979
34047,CHEMBL674643,CHEMBL203,CHEMBL420385,IC50,625000.0,nM,>,,2026-03-21 13:33:18.447979
34048,CHEMBL675636,CHEMBL203,CHEMBL420385,Ki,250000.0,nM,>,,2026-03-21 13:33:18.447979
34049,CHEMBL674643,CHEMBL203,CHEMBL76904,IC50,35000.0,nM,=,4.46,2026-03-21 13:33:18.447979
34050,CHEMBL675636,CHEMBL203,CHEMBL76904,Ki,11000.0,nM,=,4.96,2026-03-21 13:33:18.447979
34051,CHEMBL674643,CHEMBL203,CHEMBL1009,IC50,900000.0,nM,=,,2026-03-21 13:33:18.447979
